ID,Title,Year,Description,Rating
1,Rocky,1976,A small-time boxer gets a shot at the world heavyweight championship,8.1
2,Hoosiers,1986,A high school basketball team overcomes the odds to win the state championship,7.4
3,Rudy,1993,A determined young man overcomes the odds to play football at Notre Dame,7.5
4,Remember the Titans,2000,A high school football team unites a racially divided community,7.8
5,Miracle,2004,The true story of the 1980 U.S. Olympic hockey team's victory over the Soviets,7.5
6,Field of Dreams,1989,A farmer builds a baseball field that attracts the spirits of legendary players,7.5
7,The Sandlot,1993,A group of kids bond over baseball during the summer of 1962,7.8
8,Moneyball,2011,The story of how Billy Beane used analytics to build a competitive baseball team,7.6
9,The Blind Side,2009,A homeless teen becomes an NFL player with the help of a caring family,7.6
10,Coach Carter,2005,A high school basketball coach enforces strict rules to turn his team into winners,7.3
11,Friday Night Lights,2004,A Texas high school football team fights for a championship,7.2
12,Space Jam,1996,Michael Jordan teams up with the Looney Tunes for an epic basketball game,6.5
13,42,2013,The story of Jackie Robinson breaking baseball's color barrier,7.5
14,The Fighter,2010,The true story of boxer Micky Ward and his struggles in and out of the ring,7.8
15,Creed,2015,The son of Apollo Creed trains under Rocky Balboa to become a boxing champion,7.6
16,The Rookie,2002,A high school coach gets a second chance at a professional baseball career,6.9
17,Invincible,2006,The true story of Vince Papale, a bartender who makes the Philadelphia Eagles,7.1
18,We Are Marshall,2006,A coach rebuilds a college football team after a tragic plane crash,7.0
19,Dodgeball: A True Underdog Story,2004,A misfit gym team competes in a dodgeball tournament to save their business,6.7
20,Seabiscuit,2003,The story of an undersized racehorse that inspired a nation during the Great Depression,7.3
21,The Karate Kid,1984,A bullied teenager learns karate from a wise mentor to defend himself,7.3
22,The Longest Yard,2005,A former football player builds a team of inmates to face the prison guards,6.4
23,Cars,2006,A race car learns about friendship and humility in a small town,7.1
24,Goon,2011,A bouncer becomes an enforcer for a minor league hockey team,6.8
25,Talladega Nights: The Ballad of Ricky Bobby,2006,A NASCAR driver rises and falls in his pursuit of greatness,6.6
26,White Men Can't Jump,1992,Two street basketball hustlers team up to win money,6.8
27,Chariots of Fire,1981,The story of two British athletes competing in the 1924 Olympics,7.1
28,McFarland, USA,2015,A coach transforms a group of Latino farmworkers into a championship cross-country team,7.4
29,The Hustler,1961,A pool player risks everything to become the best in the game,8.0
30,Raging Bull,1980,The story of boxer Jake LaMotta's rise and fall,8.2
31,Major League,1989,A ragtag baseball team tries to win despite their owner's schemes,7.2
32,The Natural,1984,A baseball player's incredible comeback story,7.5
33,Any Given Sunday,1999,A look at the world of professional football,6.9
34,Warrior,2011,Two estranged brothers fight in a mixed martial arts tournament,8.1
35,The Waterboy,1998,A socially awkward waterboy becomes a college football star,6.1
36,Happy Gilmore,1996,A failed hockey player discovers his talent for golf,7.0
37,Caddyshack,1980,Comedy about a golf course and its eccentric members,7.2
38,Million Dollar Baby,2004,A determined female boxer fights her way to the top,8.1
39,Hoop Dreams,1994,A documentary following two inner-city Chicago boys who struggle to become college basketball players on the road to going professional,8.3
40,The Pride of the Yankees,1942,The story of the life and career of the famed baseball player Lou Gehrig,7.7
41,Brian's Song,1971,The true story of friendship between two football players,7.6
42,The Express,2008,The story of Ernie Davis, the first Black Heisman Trophy winner,7.3
43,The Replacements,2000,A team of misfit football players get a second chance,6.6
